Date,Close,High,Low,Open,Volume
11/01/2021,1849.599976,1849.599976,1826.5,1826.5,20
12/01/2021,1842.900024,1859.699951,1839.400024,1849,176
13/01/2021,1853.599976,1858.599976,1853.599976,1858,189
14/01/2021,1850.300049,1850.699951,1836.699951,1836.699951,149
15/01/2021,1829.300049,1829.400024,1825,1829.400024,31
19/01/2021,1839.5,1842.900024,1802,1802,13
20/01/2021,1865.900024,1866.599976,1844.400024,1847.800049,16
21/01/2021,1865.300049,1868,1865.300049,1865.300049,6
22/01/2021,1855.699951,1855.699951,1852.699951,1854.900024,8
25/01/2021,1854.900024,1864.699951,1851.800049,1864.699951,26
26/01/2021,1850.699951,1855.800049,1850.699951,1855.800049,59
27/01/2021,1844.900024,1844.900024,1844.900024,1844.900024,195540
28/01/2021,1837.900024,1862.900024,1831.5,1843.400024,27283
29/01/2021,1847.300049,1876,1838.699951,1842,1634
01/02/2021,1860.800049,1871.900024,1850,1866.599976,1494
02/02/2021,1830.5,1861.300049,1827.599976,1859.599976,1293
03/02/2021,1832.199951,1842.400024,1829.800049,1834.800049,1195
04/02/2021,1788.900024,1832.199951,1782.800049,1832.199951,2375
05/02/2021,1810.900024,1813.5,1790.900024,1794.300049,1278
08/02/2021,1831.900024,1836.699951,1809,1816.300049,254
09/02/2021,1835.300049,1843.300049,1830.699951,1841.900024,184
10/02/2021,1840.599976,1851.099976,1837,1842.599976,543
11/02/2021,1824.900024,1845,1820.900024,1840.5,602
12/02/2021,1821.599976,1827.5,1809.199951,1825,259
16/02/2021,1797.199951,1823.400024,1787.300049,1820.900024,1141
17/02/2021,1771.099976,1789.699951,1768.800049,1785.800049,614
18/02/2021,1773.400024,1784.599976,1766,1776.099976,587
19/02/2021,1775.800049,1787.599976,1764.300049,1764.300049,118
22/02/2021,1806.699951,1807.800049,1784,1784,165
23/02/2021,1804.400024,1811.300049,1796.400024,1809.599976,569
24/02/2021,1796.400024,1805.800049,1796.400024,1805.800049,1500
25/02/2021,1774.400024,1802,1766.699951,1801.5,1049
26/02/2021,1728.099976,1768.199951,1718.800049,1768.099976,1593
01/03/2021,1722.5,1747,1720.300049,1737.099976,407
02/03/2021,1733.099976,1733.099976,1708.699951,1709.400024,867
03/03/2021,1715.300049,1732.400024,1703.5,1730,501
04/03/2021,1700.199951,1717.400024,1700.199951,1706.5,521
05/03/2021,1698,1701,1685,1690.599976,302
08/03/2021,1677.699951,1705.400024,1673.699951,1704.699951,1290
09/03/2021,1716.599976,1717.5,1685.199951,1686.199951,335
10/03/2021,1721.5,1722.900024,1711,1713.599976,412
11/03/2021,1722.300049,1737.5,1720.199951,1725.599976,18
12/03/2021,1719.5,1722.5,1699,1715.900024,80
15/03/2021,1728.900024,1731.900024,1722.800049,1729.5,147
16/03/2021,1730.599976,1733.900024,1726,1732.300049,729
17/03/2021,1726.800049,1750.099976,1725.599976,1735.300049,488
18/03/2021,1732.199951,1750.300049,1721.800049,1745.800049,138
19/03/2021,1741.400024,1742.199951,1733.599976,1742.199951,13
22/03/2021,1737.800049,1737.800049,1737.800049,1737.800049,51
23/03/2021,1724.699951,1724.699951,1724.699951,1724.699951,6
24/03/2021,1732.900024,1732.900024,1727.5,1727.5,26
25/03/2021,1724.900024,1733.199951,1724.5,1732.699951,15
26/03/2021,1732.199951,1732.199951,1721.300049,1721.300049,33
29/03/2021,1712.099976,1712.099976,1712.099976,1712.099976,135457
30/03/2021,1683.900024,1712.599976,1676.5,1711,25316
31/03/2021,1713.800049,1713.800049,1676.5,1683.699951,762
01/04/2021,1726.5,1728.800049,1706.400024,1706.800049,720
05/04/2021,1727,1729.699951,1721.900024,1727.900024,275
06/04/2021,1741.5,1744.800049,1726.900024,1726.900024,890
07/04/2021,1740.099976,1742.699951,1733.699951,1742.699951,557
08/04/2021,1756.800049,1758,1734.599976,1736,1298
09/04/2021,1743.300049,1750.800049,1733.300049,1750.800049,484
12/04/2021,1731.199951,1740.800049,1726.699951,1740.800049,40
13/04/2021,1746.199951,1746.900024,1722.099976,1733.800049,367
14/04/2021,1734.900024,1745.900024,1732.699951,1741.300049,1037
15/04/2021,1765.400024,1767.900024,1740.099976,1740.099976,368
16/04/2021,1779,1779.5,1770.099976,1770.400024,625
19/04/2021,1769.400024,1788.5,1769.400024,1782.099976,144
20/04/2021,1777.300049,1777.300049,1765.5,1769.300049,1464
21/04/2021,1792.300049,1794.099976,1777.699951,1783,250
22/04/2021,1781.199951,1794.199951,1779.5,1794.199951,159
23/04/2021,1777,1794.5,1772,1786.099976,332
26/04/2021,1779.199951,1779.699951,1770.800049,1778,549
27/04/2021,1778,1782,1777.699951,1780,117
28/04/2021,1773.199951,1774,1764.599976,1768.199951,756
29/04/2021,1768.099976,1789,1758.599976,1781,196
30/04/2021,1767.300049,1771.800049,1763.900024,1771.800049,18
03/05/2021,1791.400024,1793,1788.5,1788.5,18
04/05/2021,1775.800049,1788.5,1774.800049,1788.199951,182
05/05/2021,1784.099976,1784.099976,1779.199951,1781.5,57
06/05/2021,1815.5,1815.5,1787.599976,1788.900024,13
07/05/2021,1831.099976,1842.900024,1831.099976,1842.900024,2
10/05/2021,1837.5,1845.599976,1835.400024,1835.599976,13
11/05/2021,1835.900024,1838.099976,1831.599976,1837.199951,420
12/05/2021,1822.599976,1825.199951,1821.699951,1825.199951,3
13/05/2021,1823.800049,1826.800049,1814.099976,1814.699951,100
14/05/2021,1837.900024,1842.900024,1824.5,1824.5,41
17/05/2021,1867.5,1867.5,1847.199951,1849.900024,13
18/05/2021,1867.800049,1870.5,1867.800049,1870.5,3
19/05/2021,1881.300049,1884.900024,1863.599976,1866.400024,348
20/05/2021,1881.800049,1885,1864.800049,1865.5,85
21/05/2021,1876.699951,1876.699951,1872.099976,1872.099976,5
24/05/2021,1884.599976,1884.599976,1882.099976,1882.099976,39
25/05/2021,1898.099976,1898.099976,1882.5,1882.5,56
26/05/2021,1901.300049,1901.300049,1901.300049,1901.300049,170526
27/05/2021,1895.699951,1903.900024,1888.199951,1896.800049,35794
28/05/2021,1902.5,1905.400024,1881.900024,1897.5,2415
